PARAMETER ASSIGNMENT,O-MSB,O-LSB,WORD,SUBF,SUPF,ONE LOGIC,ZERO LOGIC
COWL TAI CONFIG CODE #1,12,11,456,4,0,CODED,CODED
WING TAI CONFIG CODE #1,10,8,456,4,0,CODED,CODED
ECS CONFIG CODE #1,7,4,456,4,0,CODED,CODED
N1 SET SELECT,4,2,350,2,0,CODED,CODED
COWL TAI CONFIG CODE #2,12,11,496,4,0,CODED,CODED
WING TAI CONFIG CODE #2,10,8,496,4,0,CODED,CODED
ECS CONFIG CODE #2,7,4,496,4,0,CODED,CODED
REF SPEED SELECT,4,2,350,1,0,CODED,CODED
ALTITUDE SELECT,5,4,92,0,0,CODED,CODED
ALTITUDE SELECT,5,4,348,0,0,CODED,CODED
SENSITIVITY LEVEL CONTROL,5,3,253,0,0,CODED,CODED
SENSITIVITY LEVEL CONTROL,5,3,509,0,0,CODED,CODED
DOWN ADVISORY,3,1,235,0,0,CODED,CODED
DOWN ADVISORY,3,1,491,0,0,CODED,CODED
UP ADVISORY,6,4,235,0,0,CODED,CODED
UP ADVISORY,6,4,491,0,0,CODED,CODED
VERTICAL CONTROL,9,7,235,0,0,CODED,CODED
VERTICAL CONTROL,9,7,491,0,0,CODED,CODED
COMBINED CONTROL,12,10,235,0,0,CODED,CODED
COMBINED CONTROL,12,10,491,0,0,CODED,CODED
ADV ALT RATE,12,6,92,0,0,CODED,CODED
ADV ALT RATE,12,6,348,0,0,CODED,CODED
RI FIELD,12,9,253,0,0,CODED,CODED
RI FIELD,12,9,509,0,0,CODED,CODED
TCAS SENSITIVITY LEVEL,8,6,253,0,0,CODED,CODED
TCAS SENSITIVITY LEVEL,8,6,509,0,0,CODED,CODED
AIRPLANE TYPE - SMYDC,8,6,456,1,8,CODED,CODED
RADIO HEIGHT SSM - LT LRRA,2,1,123,0,0,CODED,CODED
RADIO HEIGHT SSM - RT LRRA,2,1,379,0,0,CODED,CODED
DME DISPLAY BIT - L,2,2,187,0,0,CODED,CODED
DME MODE BIT 13 - L,2,2,186,0,0,CODED,CODED
DME MODE BIT 12 - L,1,1,186,0,0,CODED,CODED
DME MODE BIT 11 - L,1,1,187,0,0,CODED,CODED
XX   MODE S ADDRESS PART 1 LSD,12,9,456,1,5,CODED,CODED
XX   MODE S ADDRESS PART 1 MSD,12,1,456,1,4,CODED,CODED
XX   MODE S ADDRESS PART 2,8,1,456,1,5,CODED,CODED
SPARE SHUNT DISCRETE #B18,2,2,114,1,0,CODED,CODED
SPARE SERIES DISCRETE #B53,1,1,257,3,0,CODED,CODED
SPARE SERIES DISCRETE #B54,1,1,257,2,0,CODED,CODED
SPARE SERIES DISCRETE #B55,1,1,256,3,0,CODED,CODED
SPARE SERIES DISCRETE #B56,1,1,256,4,0,CODED,CODED
SPARE SERIES DISCRETE #B57,2,2,313,1,0,CODED,CODED
SPARE SERIES DISCRETE #B58,1,1,370,1,0,CODED,CODED
SPARE SERIES DISCRETE #B59,1,1,372,1,0,CODED,CODED
SPARE SERIES DISCRETE #B63,2,2,313,2,0,CODED,CODED
SPARE SERIES DISCRETE #B63,2,2,313,4,0,CODED,CODED
SPARE SERIES DISCRETE #B64,1,1,435,2,0,CODED,CODED
SPARE SERIES DISCRETE #B64,1,1,435,4,0,CODED,CODED
SPARE SERIES DISCRETE #B66,1,1,61,1,0,CODED,CODED
SPARE SERIES DISCRETE #B67,1,1,61,2,0,CODED,CODED
SPARE SERIES DISCRETE #B67,1,1,61,4,0,CODED,CODED
SPARE SERIES DISCRETE #B68,1,1,286,0,0,CODED,CODED
SPARE SERIES DISCRETE #B69,1,1,499,3,0,CODED,CODED
A/C TYPE LSB,6,6,257,4,1,CODED,CODED
A/C TYPE LSB+1,7,7,257,4,1,CODED,CODED
A/C TYPE LSB+2,8,8,257,4,1,CODED,CODED
A/C TYPE LSB+3,9,9,257,4,1,CODED,CODED
A/C TYPE LSB+4,10,10,257,4,1,CODED,CODED
A/C TYPE LSB+5,11,11,257,4,1,CODED,CODED
FLEET IDENT LSB,1,1,499,1,15,CODED,CODED
FLEET IDENT LSB + 1,2,2,499,1,15,CODED,CODED
FLEET IDENT LSB + 2,3,3,499,1,15,CODED,CODED
FLEET IDENT MSB,4,4,499,1,15,CODED,CODED
A/C NUMBER LSB,1,1,499,1,16,CODED,CODED
A/C NUMBER LSB + 1,2,2,499,1,16,CODED,CODED
A/C NUMBER LSB + 2,3,3,499,1,16,CODED,CODED
A/C NUMBER LSB + 3,4,4,499,1,16,CODED,CODED
A/C NUMBER LSB + 4,5,5,499,1,16,CODED,CODED
A/C NUMBER LSB + 5,6,6,499,1,16,CODED,CODED
A/C NUMBER LSB + 6,7,7,499,1,16,CODED,CODED
A/C NUMBER MSB,8,8,499,1,16,CODED,CODED
SPARE SHUNT DISCRETE #B116,2,2,116,2,0,CODED,CODED
SPARE SHUNT DISCRETE #B117,2,2,372,2,0,CODED,CODED
SPARE SHUNT DISCRETE #B118,2,2,116,1,0,CODED,CODED
CUSTOMER UNIQUE FRAME,2,2,317,3,0,CODED,CODED
A/C TYPE MSB,12,12,257,4,1,CODED,CODED
MOTOR PWR APP FROM ASM 2,2,2,153,0,0,YES,NO
MOTOR PWR APP FROM ASM 1,1,1,153,0,0,YES,NO
A/T DISENGAGE (ATENCO),12,12,158,0,0,ENGAGE ENABLE,ENGAGE DISABLE
A/T DISENGAGE (ATENCO),12,12,414,0,0,ENGAGE ENABLE,ENGAGE DISABLE
A/T DISCONNECT SWITCH,11,11,158,0,0,DISCONNECT,NOT DISCONNECT
A/T DISCONNECT SWITCH,11,11,414,0,0,DISCONNECT,NOT DISCONNECT
ARM,1,1,200,0,0,ARM,NOT ARM
GA,2,2,193,0,0,GA,NOT GA
MCP SPEED - A/T,1,1,131,0,0,MCP SPD,NOT MCP SPD
A/T LIMIT,1,1,193,0,0,THR LIMIT,NOT THR LIMT
FMC SPD,1,1,323,0,0,FMC SPD,NOT FMC SPD
N1 - A/T MODE,1,1,195,0,0,N1,NOT N1
RETARD,2,2,461,0,0,RETARD,NOT RETARD
NOISE ABATEMENT MODE,1,1,461,0,0,NOISE ABATEMENT,NOT
A/T ENGAGED,10,10,158,0,0,ENGAGED,NOT ENGA
A/T ENGAGED,10,10,414,0,0,ENGAGED,NOT ENGA
MIN SPEED,2,2,323,0,0,MIN SPEED,NOT MIN SPD
ENGINE-OUT ENGAGED - LABEL 103,1,1,460,2,0,ENGAGED,NOT ENGAGED
ENGINE-OUT ENGAGED - LABEL 106,1,1,460,4,0,ENGAGED,NOT ENGAGED
TAKEOFF BUMP,1,1,364,0,0,BUMP,NORMAL
PMC-R ON,1,1,460,3,0,ON,OFF
PMC-L ON,1,1,460,1,0,ON,OFF
FMC VALID,1,1,238,0,0,FMC VALID,NOT
ASSUMED TEMP DERATE,2,2,208,0,0,DERATE,NORMAL
FIXED DERATE LVL 2,2,2,150,0,0,DERATE,NORMAL
FIXED DERATE LVL 1,1,1,150,0,0,DERATE,NORMAL
ENG CLIMB OUT GRAD (RESERVED),1,1,112,0,0,OPTIONAL,STANDARD
CUTBACK ENGAGED,2,2,368,0,0,ACTIVE,NOT ACTIVE
CUTBACK ARMED,2,2,112,0,0,ON,OFF
REDUCED (DERATE),1,1,496,4,0,ENABLED,DISABLED
AVM ALERT ENGINE 2,1,1,320,0,0,ALERT,NORMAL
AVM ALERT ENGINE 1,1,1,64,0,0,ALERT,NORMAL
AVM SYSTEM FAULT,2,2,435,0,0,FAULT,NORMAL
RAAS SSM,2,1,384,0,0,TRUE,FALSE
TERRAIN AHEAD,2,2,85,0,0,TRUE,FALSE
TERRAIN AHEAD,2,2,341,0,0,TRUE,FALSE
CAUTION WINDSHEAR,2,2,3,0,0,TRUE,FALSE
CAUTION WINDSHEAR,2,2,259,0,0,TRUE,FALSE
WINDSHEAR,1,1,3,0,0,TRUE,FALSE
WINDSHEAR,1,1,259,0,0,TRUE,FALSE
TERRAIN AHEAD PULL UP,1,1,85,0,0,TRUE,FALSE
TERRAIN AHEAD PULL UP,1,1,341,0,0,TRUE,FALSE
CAUTION TERRAIN,2,2,149,0,0,TRUE,FALSE
CAUTION TERRAIN,2,2,405,0,0,TRUE,FALSE
TERRAIN PULL UP,2,2,9,0,0,TRUE,FALSE
TERRAIN PULL UP,2,2,265,0,0,TRUE,FALSE
MINIMUMS,2,2,73,0,0,TRUE,FALSE
MINIMUMS,2,2,329,0,0,TRUE,FALSE
GLIDESLOPE,2,2,201,0,0,TRUE,FALSE
GLIDESLOPE,2,2,457,0,0,TRUE,FALSE
TOO LOW TERRAIN,2,2,11,0,0,TRUE,FALSE
TOO LOW TERRAIN,2,2,267,0,0,TRUE,FALSE
TOO LOW FLAP,2,2,75,0,0,TRUE,FALSE
TOO LOW FLAP,2,2,331,0,0,TRUE,FALSE
TOO LOW GEAR,1,1,75,0,0,TRUE,FALSE
TOO LOW GEAR,1,1,331,0,0,TRUE,FALSE
DON'T SINK,1,1,201,0,0,TRUE,FALSE
DON'T SINK,1,1,457,0,0,TRUE,FALSE
TERRAIN,1,1,11,0,0,TRUE,FALSE
TERRAIN,1,1,267,0,0,TRUE,FALSE
PULL UP,1,1,9,0,0,TRUE,FALSE
PULL UP,1,1,265,0,0,TRUE,FALSE
SINK RATE,1,1,73,0,0,TRUE,FALSE
SINK RATE,1,1,329,0,0,TRUE,FALSE
TERRAIN DISP SEL F/O,2,2,139,0,0,TRUE,FALSE
TERRAIN DISP SEL F/O,2,2,395,0,0,TRUE,FALSE
TERRAIN DISP SEL CAPT,1,1,139,0,0,TRUE,FALSE
TERRAIN DISP SEL CAPT,1,1,395,0,0,TRUE,FALSE
TERRAIN AWARE NOT AVAIL,2,2,13,0,0,TRUE,FALSE
TERRAIN AWARE NOT AVAIL,2,2,269,0,0,TRUE,FALSE
TERRAIN AWARENESS INOP,1,1,13,0,0,TRUE,FALSE
TERRAIN AWARENESS INOP,1,1,269,0,0,TRUE,FALSE
TERRAIN CAUTION,2,2,141,0,0,TRUE,FALSE
TERRAIN CAUTION,2,2,397,0,0,TRUE,FALSE
TERRAIN WARNING,1,1,141,0,0,TRUE,FALSE
TERRAIN WARNING,1,1,397,0,0,TRUE,FALSE
WINDSHEAR CAUTION,2,2,173,0,0,TRUE,FALSE
WINDSHEAR CAUTION,2,2,429,0,0,TRUE,FALSE
WINDSHEAR INOP,1,1,173,0,0,TRUE,FALSE
WINDSHEAR INOP,1,1,429,0,0,TRUE,FALSE
WINDSHEAR WARNING,1,1,70,0,0,TRUE,FALSE
WINDSHEAR WARNING,1,1,326,0,0,TRUE,FALSE
GPWS INOP,2,2,46,0,0,TRUE,FALSE
GPWS INOP,2,2,302,0,0,TRUE,FALSE
GPWS WARNING,1,1,46,0,0,TRUE,FALSE
GPWS WARNING,1,1,302,0,0,TRUE,FALSE
GPWS ALERT,2,2,174,0,0,TRUE,FALSE
GPWS ALERT,2,2,430,0,0,TRUE,FALSE
GLIDESLOPE CANCEL,1,1,174,0,0,TRUE,FALSE
GLIDESLOPE CANCEL,1,1,430,0,0,TRUE,FALSE
GPWC FAILURE,2,2,346,0,0,TRUE,FALSE
RUNWAY POS DISPLAYED,3,3,384,0,0,TRUE,FALSE
SHORT RUNWAY,2,2,387,0,0,TRUE,FALSE
RUNWAY OVRD DISPLAYED,1,1,134,0,0,TRUE,FALSE
RUNWAY SYS DISPLAYED,1,1,390,0,0,TRUE,FALSE
ON TAXIWAY,1,1,387,0,0,TRUE,FALSE
CAUTION OBSTACLE OR AHEAD,1,1,149,0,0,TRUE,FALSE
CAUTION OBSTACLE OR AHEAD,1,1,405,0,0,TRUE,FALSE
OBSTACLE WARNING,2,2,213,0,0,TRUE,FALSE
OBSTACLE WARNING,2,2,469,0,0,TRUE,FALSE
TERRAIN OVERRIDE,1,1,213,0,0,OVERRIDE,NORMAL
TERRAIN OVERRIDE,1,1,469,0,0,OVERRIDE,NORMAL
VMO/MMO ALTERNATE #4,4,4,94,1,0,YES,NO
VMO/MMO ALTERNATE #3,3,3,94,1,0,YES,NO
VMO/MMO ALTERNATE #2,2,2,94,1,0,YES,NO
VMO/MMO ALTERNATE #1,1,1,94,1,0,YES,NO
AOA FAIL,2,2,69,1,0,FAIL,NOT FAIL
OVERSPEED WARNING OUTPUT,1,1,172,0,0,ON,OFF
OVERSPEED WARNING OUTPUT,1,1,428,0,0,ON,OFF
PRIMARY AOA HEAT,2,2,69,4,0,ON,OFF
TAT  HEAT,3,3,238,2,0,ON,OFF
RT STATIC HEAT,2,2,325,1,0,ON,OFF
LT PITOT HEAT,1,1,325,0,0,ON,OFF
ADR FAULT,1,1,300,0,0,FAIL,GOOD
GROUND EFFECT INOP,1,1,346,0,0,INOP,NORMAL
ADR AIR/GND LOGIC INVALID,1,1,62,0,0,FAIL,PASS
IR TO ADR DATA INVALID,1,1,305,0,0,FAIL,PASS
BARO 2 DATA INVALID,3,3,494,3,0,FAIL,PASS
BARO 1 DATA INVALID,3,3,238,3,0,FAIL,PASS
STATIC ADM DATA INVALID,2,2,325,3,0,FAIL,PASS
PITOT ADM DATA INVALID,1,1,69,0,0,FAIL,PASS
NO IR TO ADR DATA,1,1,317,2,0,FAIL,PASS
NO BARO 2 DATA,3,3,494,1,0,FAIL,PASS
NO BARO 1 DATA,3,3,238,1,0,FAIL,PASS
NO STATIC ADM DATA,2,2,325,2,0,FAIL,PASS
NO PITOT ADM DATA,2,2,325,4,0,FAIL,PASS
BARO 3 SIGNAL FAIL,1,1,435,1,0,FAIL,PASS
AOA SIGNAL FAIL,2,2,69,3,0,FAIL,PASS
TAT PROBE SIGNAL FAIL,3,3,494,2,0,FAIL,PASS
TEST/TUNE INHIBIT LOC - L,1,1,309,1,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT LOC - L,1,1,309,3,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S - L,2,2,309,1,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S - L,2,2,309,3,0,INHIBIT,NOT INHIBIT
MLS DIRECT ANT SEL CMD ACK - L,3,3,225,2,0,CMD ACK,NOT ACK
GNSS OUTPUT CORRECTION - L(RESERVED),1,1,220,0,0,CORRECTED,UNCORRECTED
SELECTED LANDING MODE STATUS - L,1,1,45,1,0,SELECT MODE NOT FAIL,MODE FAIL
SELECTED LANDING MODE STATUS - L,1,1,45,3,0,SELECT MODE NOT FAIL,MODE FAIL
STBY MODE - L,2,2,220,0,0,STANDBY,ACTIVE
LOCALIZER RECEIVER FAIL - L,2,2,312,2,0,FAILURE,OK
G/S RECEIVER FAILURE - L,2,2,312,1,0,FAILURE,OK
TUNING INPUT BUS ACTIVITY - L,2,2,45,1,0,INACTIVE,OK
TUNING INPUT BUS ACTIVITY - L,2,2,45,3,0,INACTIVE,OK
LOCALIZER ANTENNA FAIL - L,2,2,56,2,0,FAILURE,OK
G/S ANTENNA FAILURE - L,2,2,56,1,0,FAILURE,OK
ILS FAILURE - L,1,1,247,2,0,FAILURE,OK
GMT/UTC SYNCHRONIZATION,1,1,256,1,0,GPS/UTC SYNC,NOT GPS/UTC
MCP SPEED - FCC,2,2,131,0,0,MCP SPD ENG,NOT ENGA
L NAV ENGAGE,2,2,54,0,0,L NAV ENGA,NOT ENGA
V/S ARM,1,1,120,0,0,V/S ARM,NOT V/S ARM
VOR/LOC ARM,1,1,504,0,0,VOR/LOC ARM,NOT VOR/LOC ARM
G/S ARM,2,2,121,0,0,G/S ARM,NOT G/S ARM
FLARE ARM,1,1,140,0,0,FLARE ARM,NOT FLARE ARM
CWS ROLL,2,2,26,0,0,CWS ROLL,NOT ENGA
CWS PITCH,1,1,6,0,0,CWS PITCH,NOT ENGA
A/P OFF,2,2,156,0,0,F/D ONLY ON,ON
A/P OFF,2,2,412,0,0,F/D ONLY ON,ON
SINGLE CHANNEL,1,1,240,0,0,SINGLE CHL,NOT ENGA
TO/GA,1,1,454,0,0,TO/GA,NOT ENGA
V/S ENGAGE,2,2,120,0,0,V/S ENGAGE,NOT ENGA
ALT HOLD,2,2,175,0,0,ALT HLD ENG,NOT ENGA
ALT ACQUIRE,1,1,175,0,0,ALT ACQ ENG,NOT ENGA
HDG SELECT,1,1,35,0,0,HDG SEL ENG,NOT ENGA
VOR/LOC ENGAGE,2,2,505,0,0,VOR/LOC ENG,NOT ENGA
G/S ENGAGE,2,2,311,0,0,G/S ENGAGE,NOT ENGA
FLARE ENGAGE,1,1,396,0,0,FLARE ENGA,NOT ENGA
SPEED INTERVENTION ACTIVE,4,4,94,2,0,SPD INT SEL,NOT SPD INT SEL
ALTITUDE INTERVENTION ACTIVE,3,3,94,2,0,ALT INT SEL,NOT ALT INT SEL
TEST DISPLAY CMD FCC-R,3,3,496,4,0,TEST,NO TEST
LOCAL LIMITED MASTER-R,1,1,28,0,0,SET,NOT SET
LOCAL LIMITED MASTER-R,1,1,284,0,0,SET,NOT SET
G/S DEV WARN,1,1,121,0,0,WARN,NOT WARN
LOC DEV WARN,1,1,53,0,0,WARN,NOT WARN
A/T SPEED WARN,9,9,158,0,0,WARN,NOT WARN
A/T SPEED WARN,9,9,414,0,0,WARN,NOT WARN
ILS DEV WARN,1,1,503,0,0,WARN,NOT WARN
VISUAL ALTITUDE ALERT,2,2,179,0,0,VIS ALRT ON,VIS ALRT OFF
CWS B,8,8,158,0,0,SELECTED,NOT SELECTED
CWS B,8,8,414,0,0,SELECTED,NOT SELECTED
CWS A,7,7,158,0,0,SELECTED,NOT SELECTED
CWS A,7,7,414,0,0,SELECTED,NOT SELECTED
CMD B,6,6,158,0,0,SELECTED,NOT SELECTED
CMD B,6,6,414,0,0,SELECTED,NOT SELECTED
CMD A,5,5,158,0,0,SELECTED,NOT SELECTED
CMD A,5,5,414,0,0,SELECTED,NOT SELECTED
F/D B ON,4,4,158,0,0,F/D SW ON,F/D SW OFF
F/D B ON,4,4,414,0,0,F/D SW ON,F/D SW OFF
F/D A ON,3,3,158,0,0,F/D SW ON,F/D SW OFF
F/D A ON,3,3,414,0,0,F/D SW ON,F/D SW OFF
V NAV SPD,1,1,176,0,0,V NAV SPD,NOT V NAV SPD
V NAV PATH,1,1,12,0,0,V NAV PATH,NOT V NAV PATH
CWS WARN,2,2,410,0,0,CWS WARN,NOT CWS WARN
IAS DISPLAY,1,1,26,0,0,DISPLAY IAS,DISP MACH
VERT SPD PB LITE,1,1,373,0,0,ON,OFF
V NAV PB LITE,1,1,432,0,0,ON,OFF
LEVEL CHANGE PB LITE,1,1,268,0,0,ON,OFF
ALT HOLD PB LITE,2,2,431,0,0,ON,OFF
N1 PB LITE,2,2,304,0,0,ON,OFF
SPD PB LITE,2,2,432,0,0,ON,OFF
APPROACH PB LITE,2,2,373,0,0,ON,OFF
HDG SEL PB LITE,1,1,291,0,0,ON,OFF
VOR/LOC PB LITE,1,1,248,0,0,ON,OFF
LNAV PB LITE,1,1,312,0,0,ON,OFF
B MASTER LIGHT,1,1,203,0,0,ON,OFF
B MASTER LIGHT,1,1,459,0,0,ON,OFF
A MASTER LIGHT,2,2,203,0,0,ON,OFF
A MASTER LIGHT,2,2,459,0,0,ON,OFF
GPS APPROACH,2,2,53,0,0,GPS APPROACH,NOT
IRNAV CAPABLE,2,2,240,0,0,IRNAV CAPABLE,NOT
BACKCOURSE ENGAGE,1,1,163,0,0,ENGAGED,NOT ENGAGED
BACKCOURSE ARM,1,1,419,0,0,ARMED,NOT ARMED
GP ENGAGE,2,2,55,0,0,GP ENGAGED,NOT ENGAGED
GP ARM,1,1,55,0,0,GP ARMED,NOT ARMED
FAC ENGAGE,2,2,241,0,0,FAC ENGAGED,NOT ENGAGED
FAC ARM,2,2,497,0,0,FAC ARM,NOT ARM
ROLLOUT ENGAGED,1,1,241,0,0,R/O ENGAGED ANNUN,NO ANNUN
ROLLOUT ARMED,1,1,497,0,0,R/O ARMED ANNUN,NO ANNUN
ALTITUDE HOLD (MCP OR VNAV),1,1,158,0,0,ENGAGED,NOT ENGAGED
ACTIVE ALTITUDE REF,1,1,431,0,0,FMC ALT,MCP ALT
ALT ACQ,1,1,414,0,0,ALT ACQ ENGA,ENGA NOT
LOC ENGAGED,2,2,310,0,0,LOC ENGA,ENGA NOT
TOGA SW PRESSED,2,2,158,0,0,PRESSED,NOT PRESSED
TOGA SW PRESSED,2,2,414,0,0,PRESSED,NOT PRESSED
ROLL MODE FAIL (ANNUN),2,2,282,0,0,ANNUN,NO ANNUN
PITCH MODE FAIL (ANNUN),1,1,262,0,0,ANNUN,NO ANNUN
